2017-06-17T23:00:18Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.373, eth_total_shares: 2142, eth_total_rejected: 0, eth_avg_speed_per_card: 27.34, eth_avg_shares_per_card: 535.5, dcr_total_speed: 965.502, dcr_total_shares: 6175, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.38, dcr_avg_shares_per_card: 1543.75
2017-06-17T23:00:28Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.938, eth_total_shares: 2142, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 535.5, dcr_total_speed: 972.158, dcr_total_shares: 6175, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.04, dcr_avg_shares_per_card: 1543.75
2017-06-17T23:00:38Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.861, eth_total_shares: 2142, eth_total_rejected: 0, eth_avg_speed_per_card: 27.47, eth_avg_shares_per_card: 535.5, dcr_total_speed: 971.378, dcr_total_shares: 6175, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.84, dcr_avg_shares_per_card: 1543.75
2017-06-17T23:00:48Z02:00, machine: minr, avg_temp: 67.75, avg_fan: 55.5, eth_total_speed: 109.961, eth_total_shares: 2143, eth_total_rejected: 0, eth_avg_speed_per_card: 27.49, eth_avg_shares_per_card: 535.75, dcr_total_speed: 972.596, dcr_total_shares: 6181, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.15, dcr_avg_shares_per_card: 1545.25
2017-06-17T23:00:58Z02:00, machine: minr, avg_temp: 67.75, avg_fan: 55.5, eth_total_speed: 109.915, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 536, dcr_total_speed: 972.199, dcr_total_shares: 6186, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.05, dcr_avg_shares_per_card: 1546.5
2017-06-17T23:01:08Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.984, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.5, eth_avg_shares_per_card: 536, dcr_total_speed: 973.788, dcr_total_shares: 6188, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.45, dcr_avg_shares_per_card: 1547
2017-06-17T23:01:18Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.301, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.33, eth_avg_shares_per_card: 536, dcr_total_speed: 964.858, dcr_total_shares: 6191, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.21, dcr_avg_shares_per_card: 1547.75
2017-06-17T23:01:28Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.702, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.43, eth_avg_shares_per_card: 536, dcr_total_speed: 969.577, dcr_total_shares: 6191, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.39, dcr_avg_shares_per_card: 1547.75
2017-06-17T23:01:38Z02:00, machine: minr, avg_temp: 68.5, avg_fan: 55.5, eth_total_speed: 109.300, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.33, eth_avg_shares_per_card: 536, dcr_total_speed: 964.806, dcr_total_shares: 6191, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.2, dcr_avg_shares_per_card: 1547.75
2017-06-17T23:01:48Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.924, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.48, eth_avg_shares_per_card: 536, dcr_total_speed: 972.202, dcr_total_shares: 6192, dcr_total_rejected: 88, dcr_avg_speed_per_card: 243.05, dcr_avg_shares_per_card: 1548
2017-06-17T23:01:58Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.848, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.46, eth_avg_shares_per_card: 536, dcr_total_speed: 971.419, dcr_total_shares: 6192, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.85, dcr_avg_shares_per_card: 1548
2017-06-17T23:02:08Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.095, eth_total_shares: 2144, eth_total_rejected: 0, eth_avg_speed_per_card: 27.27, eth_avg_shares_per_card: 536, dcr_total_speed: 962.244, dcr_total_shares: 6192, dcr_total_rejected: 88, dcr_avg_speed_per_card: 240.56, dcr_avg_shares_per_card: 1548
2017-06-17T23:02:18Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.636, eth_total_shares: 2145, eth_total_rejected: 0, eth_avg_speed_per_card: 27.41, eth_avg_shares_per_card: 536.25, dcr_total_speed: 968.691, dcr_total_shares: 6193, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.17, dcr_avg_shares_per_card: 1548.25
2017-06-17T23:02:28Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.443, eth_total_shares: 2145, eth_total_rejected: 0, eth_avg_speed_per_card: 27.36, eth_avg_shares_per_card: 536.25, dcr_total_speed: 966.390, dcr_total_shares: 6193, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.6, dcr_avg_shares_per_card: 1548.25
2017-06-17T23:02:38Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.635, eth_total_shares: 2146, eth_total_rejected: 0, eth_avg_speed_per_card: 27.41, eth_avg_shares_per_card: 536.5, dcr_total_speed: 968.593, dcr_total_shares: 6194, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242.15, dcr_avg_shares_per_card: 1548.5
2017-06-17T23:02:48Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.161, eth_total_shares: 2146, eth_total_rejected: 0, eth_avg_speed_per_card: 27.29, eth_avg_shares_per_card: 536.5, dcr_total_speed: 963.042, dcr_total_shares: 6194, dcr_total_rejected: 88, dcr_avg_speed_per_card: 240.76, dcr_avg_shares_per_card: 1548.5
2017-06-17T23:02:58Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.582, eth_total_shares: 2147, eth_total_rejected: 0, eth_avg_speed_per_card: 27.4, eth_avg_shares_per_card: 536.75, dcr_total_speed: 967.999, dcr_total_shares: 6194, dcr_total_rejected: 88, dcr_avg_speed_per_card: 242, dcr_avg_shares_per_card: 1548.5
2017-06-17T23:03:08Z02:00, machine: minr, avg_temp: 68.25, avg_fan: 55.5, eth_total_speed: 109.558, eth_total_shares: 2147, eth_total_rejected: 0, eth_avg_speed_per_card: 27.39, eth_avg_shares_per_card: 536.75, dcr_total_speed: 967.749, dcr_total_shares: 6194, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.94, dcr_avg_shares_per_card: 1548.5
2017-06-17T23:03:18Z02:00, machine: minr, avg_temp: 68, avg_fan: 55.5, eth_total_speed: 109.488, eth_total_shares: 2149, eth_total_rejected: 0, eth_avg_speed_per_card: 27.37, eth_avg_shares_per_card: 537.25, dcr_total_speed: 967.011, dcr_total_shares: 6194, dcr_total_rejected: 88, dcr_avg_speed_per_card: 241.75, dcr_avg_shares_per_card: 1548.5
2017-06-17T23:03:28Z02:00, machine: minr, avg_temp: 67.75, avg_fan: 55.5, eth_total_speed: 109.221, eth_total_shares: 2149, eth_total_rejected: 0, eth_avg_speed_per_card: 27.31, eth_avg_shares_per_card: 537.25, dcr_total_speed: 963.925, dcr_total_shares: 6195, dcr_total_rejected: 88, dcr_avg_speed_per_card: 240.98, dcr_avg_shares_per_card: 1548.75
